"code","year","income_group","gross_savings"
"AFG",2015,"Low income",21.466
"AGO",2015,"Upper middle income",-0.425
"ALB",2015,"Upper middle income",13.84
"ARE",2015,"High income",34.106
"ARG",2015,"Upper middle income",14.111
"ARM",2015,"Lower middle income",18.306
"ATG",2015,"High income",18.754
"AUS",2015,"High income",22.111
"AUT",2015,"High income",25.353
"AZE",2015,"Upper middle income",26.4
"BDI",2015,"Low income",-11.014
"BEL",2015,"High income",23.653
"BEN",2015,"Low income",17.567
"BFA",2015,"Low income",5.31
"BGD",2015,"Lower middle income",29.707
"BGR",2015,"Upper middle income",21.056
"BHR",2015,"High income",21.955
"BHS",2015,"High income",11.243
"BIH",2015,"Upper middle income",10.217
"BLR",2015,"Upper middle income",25.419
"BLZ",2015,"Upper middle income",12.155
"BOL",2015,"Lower middle income",13.31
"BRA",2015,"Upper middle income",15.865
"BRB",2015,"High income",7.473
"BRN",2015,"High income",
"BTN",2015,"Lower middle income",32.024
"BWA",2015,"Upper middle income",40.026
"CAF",2015,"Low income",4.882
"CAN",2015,"High income",20.416
"CHE",2015,"High income",34.52
"CHL",2015,"High income",21.306
"CHN",2015,"Upper middle income",47.457
"CIV",2015,"Lower middle income",16.82
"CMR",2015,"Lower middle income",17.088
"COD",2015,"Low income",16.495
"COG",2015,"Lower middle income",-8.049
"COL",2015,"Upper middle income",20.23
"COM",2015,"Low income",19.221
"CPV",2015,"Lower middle income",37.094
"CRI",2015,"Upper middle income",15.725
"CYP",2015,"High income",11.55
"CZE",2015,"High income",28.266
"DEU",2015,"High income",27.571
"DJI",2015,"Lower middle income",19.039
"DMA",2015,"Upper middle income",8.814
"DNK",2015,"High income",28.91
"DOM",2015,"Upper middle income",21.447
"DZA",2015,"Upper middle income",34.738
"ECU",2015,"Upper middle income",24.657
"EGY",2015,"Lower middle income",10.62
"ERI",2015,"Low income",1.329
"ESP",2015,"High income",21.429
"EST",2015,"High income",25.422
"ETH",2015,"Low income",31.269
"FIN",2015,"High income",20.728
"FJI",2015,"Upper middle income",
"FRA",2015,"High income",22.163
"FSM",2015,"Lower middle income",
"GAB",2015,"Upper middle income",29.315
"GBR",2015,"High income",12.952
"GEO",2015,"Upper middle income",20.136
"GHA",2015,"Lower middle income",17.146
"GIN",2015,"Low income",-9.697
"GMB",2015,"Low income",4.687
"GNB",2015,"Low income",9.374
"GNQ",2015,"Upper middle income",54.939
"GRC",2015,"High income",9.783
"GRD",2015,"Upper middle income",0.231
"GTM",2015,"Lower middle income",13.115
"GUY",2015,"Upper middle income",8.214
"HKG",2015,"High income",24.858
"HND",2015,"Lower middle income",18.403
"HRV",2015,"High income",23.894
"HTI",2015,"Low income",29.277
"HUN",2015,"High income",25.102
"IDN",2015,"Lower middle income",32.14
"IND",2015,"Lower middle income",31.689
"IRL",2015,"High income",31.998
